location_name,joinpoint_model,aapc_index,start_obs,end_obs,aapc,aapc_c_i_low,aapc_c_i_high,statistically_significant_0_no_1_yes,test_statistic,p_value,p_value_label,legend,Year,Value,Label,Measure
Low-middle SDI,3,2019.000-2023.000,2019,2023,-0.23,-0.52,0.06,0,-1.624,0.118,,"2019~2023
-0.23(-0.52~0.06)",2019~2023,-0.23 (-0.52~0.06),Prevalence,Number
Low-middle SDI,3,1990.000-2019.000,1990,2019,0.60,0.53,0.68,1,15.499,0,***,"1990~2019
0.60(0.53~0.68)***",1990~2019,0.60 (0.53~0.68),Prevalence,Number
Low-middle SDI,3,1990.000-2023.000,1990,2023,0.50,0.42,0.58,1,12.497,0,***,"1990~2023
0.50(0.42~0.58)***",1990~2023,0.50 (0.42~0.58),Prevalence,Number
Middle SDI,3,Full Range,1990,2023,0.94,0.90,0.97,1,53.684,0,***,"1990~2023
0.94(0.90~0.97)***",1990~2023,0.94 (0.90~0.97),Prevalence,Number
Middle SDI,3,1990.000-1999.000,1990,1999,1.53,1.49,1.57,1,84.282,0,***,"1990~1999
1.53(1.49~1.57)***",1990~1999,1.53 (1.49~1.57),Prevalence,Number
Middle SDI,3,1999.000-2019.000,1999,2019,0.77,0.72,0.83,1,29.626,0,***,"1999~2019
0.77(0.72~0.83)***",1999~2019,0.77 (0.72~0.83),Prevalence,Number
Middle SDI,3,2019.000-2023.000,2019,2023,0.41,0.37,0.46,1,19.535,0,***,"2019~2023
0.41(0.37~0.46)***",2019~2023,0.41 (0.37~0.46),Prevalence,Number
Middle SDI,3,1990.000-2019.000,1990,2019,1.01,0.97,1.05,1,52.856,0,***,"1990~2019
1.01(0.97~1.05)***",1990~2019,1.01 (0.97~1.05),Prevalence,Number
Middle SDI,3,1990.000-2023.000,1990,2023,0.94,0.90,0.97,1,53.684,0,***,"1990~2023
0.94(0.90~0.97)***",1990~2023,0.94 (0.90~0.97),Prevalence,Number
Region of the Americas,3,Full Range,1990,2023,0.08,-0.04,0.19,0,1.277,0.202,,"1990~2023
0.08(-0.04~0.19)",1990~2023,0.08 (-0.04~0.19),Prevalence,Number
Region of the Americas,3,1990.000-1999.000,1990,1999,0.83,0.68,0.98,1,11.053,0,***,"1990~1999
0.83(0.68~0.98)***",1990~1999,0.83 (0.68~0.98),Prevalence,Number
Region of the Americas,3,1999.000-2019.000,1999,2019,-0.19,-0.36,-0.01,1,-2.099,0.036,*,"1999~2019
-0.19(-0.36~-0.01)*",1999~2019,-0.19 (-0.36~-0.01),Prevalence,Number
Region of the Americas,3,2019.000-2023.000,2019,2023,-0.29,-0.35,-0.24,1,-10.875,0,***,"2019~2023
-0.29(-0.35~-0.24)***",2019~2023,-0.29 (-0.35~-0.24),Prevalence,Number
Region of the Americas,3,1990.000-2019.000,1990,2019,0.13,-0.00,0.26,0,1.898,0.058,,"1990~2019
0.13(-0.00~0.26)",1990~2019,0.13 (-0.00~0.26),Prevalence,Number
Region of the Americas,3,1990.000-2023.000,1990,2023,0.08,-0.04,0.19,0,1.277,0.202,,"1990~2023
0.08(-0.04~0.19)",1990~2023,0.08 (-0.04~0.19),Prevalence,Number
South-East Asia Region,3,Full Range,1990,2023,0.81,0.73,0.90,1,19.656,0,***,"1990~2023
0.81(0.73~0.90)***",1990~2023,0.81 (0.73~0.90),Prevalence,Number
South-East Asia Region,3,1990.000-1999.000,1990,1999,1.30,1.12,1.48,1,14.335,0,***,"1990~1999
1.30(1.12~1.48)***",1990~1999,1.30 (1.12~1.48),Prevalence,Number
South-East Asia Region,3,1999.000-2019.000,1999,2019,0.72,0.65,0.78,1,20.724,0,***,"1999~2019
0.72(0.65~0.78)***",1999~2019,0.72 (0.65~0.78),Prevalence,Number
South-East Asia Region,3,2019.000-2023.000,2019,2023,0.21,-0.20,0.63,0,1.073,0.295,,"2019~2023
0.21(-0.20~0.63)",2019~2023,0.21 (-0.20~0.63),Prevalence,Number
South-East Asia Region,3,1990.000-2019.000,1990,2019,0.90,0.82,0.97,1,23.529,0,***,"1990~2019
0.90(0.82~0.97)***",1990~2019,0.90 (0.82~0.97),Prevalence,Number
South-East Asia Region,3,1990.000-2023.000,1990,2023,0.81,0.73,0.90,1,19.656,0,***,"1990~2023
0.81(0.73~0.90)***",1990~2023,0.81 (0.73~0.90),Prevalence,Number
Western Pacific Region,3,Full Range,1990,2023,0.78,0.74,0.83,1,32.024,0,***,"1990~2023
0.78(0.74~0.83)***",1990~2023,0.78 (0.74~0.83),Prevalence,Number
Western Pacific Region,3,1990.000-1999.000,1990,1999,1.48,1.42,1.53,1,57.72,0,***,"1990~1999
1.48(1.42~1.53)***",1990~1999,1.48 (1.42~1.53),Prevalence,Number
Western Pacific Region,3,1999.000-2019.000,1999,2019,0.52,0.44,0.59,1,13.823,0,***,"1999~2019
0.52(0.44~0.59)***",1999~2019,0.52 (0.44~0.59),Prevalence,Number
Western Pacific Region,3,2019.000-2023.000,2019,2023,0.56,0.52,0.60,1,32.679,0,***,"2019~2023
0.56(0.52~0.60)***",2019~2023,0.56 (0.52~0.60),Prevalence,Number
Western Pacific Region,3,1990.000-2019.000,1990,2019,0.81,0.76,0.87,1,29.843,0,***,"1990~2019
0.81(0.76~0.87)***",1990~2019,0.81 (0.76~0.87),Prevalence,Number
Western Pacific Region,3,1990.000-2023.000,1990,2023,0.78,0.74,0.83,1,32.024,0,***,"1990~2023
0.78(0.74~0.83)***",1990~2023,0.78 (0.74~0.83),Prevalence,Number
African Region,3,Full Range,1990,2023,-1.50,-1.52,-1.48,1,-145.781,0,***,"1990~2023
-1.50(-1.52~-1.48)***",1990~2023,-1.50 (-1.52~-1.48),Prevalence,Rate
African Region,3,1990.000-1999.000,1990,1999,-0.72,-0.75,-0.69,1,-55.041,0,***,"1990~1999
-0.72(-0.75~-0.69)***",1990~1999,-0.72 (-0.75~-0.69),Prevalence,Rate
African Region,3,1999.000-2019.000,1999,2019,-1.65,-1.68,-1.62,1,-114.634,0,***,"1999~2019
-1.65(-1.68~-1.62)***",1999~2019,-1.65 (-1.68~-1.62),Prevalence,Rate
African Region,3,2019.000-2023.000,2019,2023,-2.52,-2.56,-2.48,1,-138.689,0,***,"2019~2023
-2.52(-2.56~-2.48)***",2019~2023,-2.52 (-2.56~-2.48),Prevalence,Rate
African Region,3,1990.000-2019.000,1990,2019,-1.36,-1.38,-1.34,1,-124.967,0,***,"1990~2019
-1.36(-1.38~-1.34)***",1990~2019,-1.36 (-1.38~-1.34),Prevalence,Rate
African Region,3,1990.000-2023.000,1990,2023,-1.50,-1.52,-1.48,1,-145.781,0,***,"1990~2023
-1.50(-1.52~-1.48)***",1990~2023,-1.50 (-1.52~-1.48),Prevalence,Rate
Eastern Mediterranean Region,3,Full Range,1990,2023,-1.76,-1.77,-1.74,1,-248.435,0,***,"1990~2023
-1.76(-1.77~-1.74)***",1990~2023,-1.76 (-1.77~-1.74),Prevalence,Rate
Eastern Mediterranean Region,3,1990.000-1999.000,1990,1999,-1.25,-1.28,-1.23,1,-98.943,0,***,"1990~1999
-1.25(-1.28~-1.23)***",1990~1999,-1.25 (-1.28~-1.23),Prevalence,Rate
Eastern Mediterranean Region,3,1999.000-2019.000,1999,2019,-1.90,-1.92,-1.88,1,-217.766,0,***,"1999~2019
-1.90(-1.92~-1.88)***",1999~2019,-1.90 (-1.92~-1.88),Prevalence,Rate
Eastern Mediterranean Region,3,2019.000-2023.000,2019,2023,-2.18,-2.19,-2.16,1,-323.193,0,***,"2019~2023
-2.18(-2.19~-2.16)***",2019~2023,-2.18 (-2.19~-2.16),Prevalence,Rate
Eastern Mediterranean Region,3,1990.000-2019.000,1990,2019,-1.70,-1.72,-1.68,1,-218.478,0,***,"1990~2019
-1.70(-1.72~-1.68)***",1990~2019,-1.70 (-1.72~-1.68),Prevalence,Rate
Eastern Mediterranean Region,3,1990.000-2023.000,1990,2023,-1.76,-1.77,-1.74,1,-248.435,0,***,"1990~2023
-1.76(-1.77~-1.74)***",1990~2023,-1.76 (-1.77~-1.74),Prevalence,Rate
European Region,3,Full Range,1990,2023,-2.38,-2.42,-2.35,1,-123.227,0,***,"1990~2023
-2.38(-2.42~-2.35)***",1990~2023,-2.38 (-2.42~-2.35),Prevalence,Rate
European Region,3,1990.000-1999.000,1990,1999,-1.85,-1.89,-1.81,1,-93.989,0,***,"1990~1999
-1.85(-1.89~-1.81)***",1990~1999,-1.85 (-1.89~-1.81),Prevalence,Rate
European Region,3,1999.000-2019.000,1999,2019,-2.66,-2.71,-2.61,1,-99.989,0,***,"1999~2019
-2.66(-2.71~-2.61)***",1999~2019,-2.66 (-2.71~-2.61),Prevalence,Rate
European Region,3,2019.000-2023.000,2019,2023,-2.17,-2.27,-2.07,1,-44.134,0,***,"2019~2023
-2.17(-2.27~-2.07)***",2019~2023,-2.17 (-2.27~-2.07),Prevalence,Rate
European Region,3,1990.000-2019.000,1990,2019,-2.41,-2.45,-2.37,1,-121.805,0,***,"1990~2019
-2.41(-2.45~-2.37)***",1990~2019,-2.41 (-2.45~-2.37),Prevalence,Rate
European Region,3,1990.000-2023.000,1990,2023,-2.38,-2.42,-2.35,1,-123.227,0,***,"1990~2023
-2.38(-2.42~-2.35)***",1990~2023,-2.38 (-2.42~-2.35),Prevalence,Rate
High SDI,2,Full Range,1990,2023,-1.03,-1.07,-0.98,1,-43.603,0,***,"1990~2023
-1.03(-1.07~-0.98)***",1990~2023,-1.03 (-1.07~-0.98),Prevalence,Rate
High SDI,2,1990.000-1999.000,1990,1999,-0.68,-0.75,-0.61,1,-20.836,0,***,"1990~1999
-0.68(-0.75~-0.61)***",1990~1999,-0.68 (-0.75~-0.61),Prevalence,Rate
High SDI,2,1999.000-2019.000,1999,2019,-1.23,-1.30,-1.16,1,-35.746,0,***,"1999~2019
-1.23(-1.30~-1.16)***",1999~2019,-1.23 (-1.30~-1.16),Prevalence,Rate
High SDI,2,2019.000-2023.000,2019,2023,-0.78,-0.81,-0.76,1,-57.99,0,***,"2019~2023
-0.78(-0.81~-0.76)***",2019~2023,-0.78 (-0.81~-0.76),Prevalence,Rate
High SDI,2,1990.000-2019.000,1990,2019,-1.06,-1.11,-1.01,1,-40.368,0,***,"1990~2019
-1.06(-1.11~-1.01)***",1990~2019,-1.06 (-1.11~-1.01),Prevalence,Rate
High SDI,2,1990.000-2023.000,1990,2023,-1.03,-1.07,-0.98,1,-43.603,0,***,"1990~2023
-1.03(-1.07~-0.98)***",1990~2023,-1.03 (-1.07~-0.98),Prevalence,Rate
High-middle SDI,3,Full Range,1990,2023,-0.57,-0.61,-0.52,1,-23.151,0,***,"1990~2023
-0.57(-0.61~-0.52)***",1990~2023,-0.57 (-0.61~-0.52),Prevalence,Rate
High-middle SDI,3,1990.000-1999.000,1990,1999,-0.05,-0.10,-0.01,1,-2.323,0.029,*,"1990~1999
-0.05(-0.10~-0.01)*",1990~1999,-0.05 (-0.10~-0.01),Prevalence,Rate
High-middle SDI,3,1999.000-2019.000,1999,2019,-0.80,-0.88,-0.73,1,-21.06,0,***,"1999~2019
-0.80(-0.88~-0.73)***",1999~2019,-0.80 (-0.88~-0.73),Prevalence,Rate
High-middle SDI,3,2019.000-2023.000,2019,2023,-0.54,-0.57,-0.51,1,-38.983,0,***,"2019~2023
-0.54(-0.57~-0.51)***",2019~2023,-0.54 (-0.57~-0.51),Prevalence,Rate
High-middle SDI,3,1990.000-2019.000,1990,2019,-0.57,-0.62,-0.52,1,-20.781,0,***,"1990~2019
-0.57(-0.62~-0.52)***",1990~2019,-0.57 (-0.62~-0.52),Prevalence,Rate
High-middle SDI,3,1990.000-2023.000,1990,2023,-0.57,-0.61,-0.52,1,-23.151,0,***,"1990~2023
-0.57(-0.61~-0.52)***",1990~2023,-0.57 (-0.61~-0.52),Prevalence,Rate
Low SDI,3,Full Range,1990,2023,-1.49,-1.50,-1.47,1,-175.913,0,***,"1990~2023
-1.49(-1.50~-1.47)***",1990~2023,-1.49 (-1.50~-1.47),Prevalence,Rate
Low SDI,3,1990.000-1999.000,1990,1999,-0.90,-0.93,-0.86,1,-53.026,0,***,"1990~1999
-0.90(-0.93~-0.86)***",1990~1999,-0.90 (-0.93~-0.86),Prevalence,Rate
Low SDI,3,1999.000-2019.000,1999,2019,-1.63,-1.64,-1.61,1,-220.815,0,***,"1999~2019
-1.63(-1.64~-1.61)***",1999~2019,-1.63 (-1.64~-1.61),Prevalence,Rate
Low SDI,3,2019.000-2023.000,2019,2023,-2.12,-2.18,-2.05,1,-66.601,0,***,"2019~2023
-2.12(-2.18~-2.05)***",2019~2023,-2.12 (-2.18~-2.05),Prevalence,Rate
Low SDI,3,1990.000-2019.000,1990,2019,-1.40,-1.42,-1.39,1,-175.531,0,***,"1990~2019
-1.40(-1.42~-1.39)***",1990~2019,-1.40 (-1.42~-1.39),Prevalence,Rate
Low SDI,3,1990.000-2023.000,1990,2023,-1.49,-1.50,-1.47,1,-175.913,0,***,"1990~2023
-1.49(-1.50~-1.47)***",1990~2023,-1.49 (-1.50~-1.47),Prevalence,Rate
Low-middle SDI,3,Full Range,1990,2023,-1.06,-1.15,-0.96,1,-20.821,0,***,"1990~2023
-1.06(-1.15~-0.96)***",1990~2023,-1.06 (-1.15~-0.96),Prevalence,Rate
Low-middle SDI,3,1990.000-1999.000,1990,1999,-0.61,-0.74,-0.49,1,-9.555,0,***,"1990~1999
-0.61(-0.74~-0.49)***",1990~1999,-0.61 (-0.74~-0.49),Prevalence,Rate
Low-middle SDI,3,1999.000-2019.000,1999,2019,-1.25,-1.40,-1.10,1,-16.359,0,***,"1999~2019
-1.25(-1.40~-1.10)***",1999~2019,-1.25 (-1.40~-1.10),Prevalence,Rate
Low-middle SDI,3,2019.000-2023.000,2019,2023,-1.09,-1.14,-1.04,1,-46.856,0,***,"2019~2023
-1.09(-1.14~-1.04)***",2019~2023,-1.09 (-1.14~-1.04),Prevalence,Rate
Low-middle SDI,3,1990.000-2019.000,1990,2019,-1.05,-1.16,-0.94,1,-18.391,0,***,"1990~2019
-1.05(-1.16~-0.94)***",1990~2019,-1.05 (-1.16~-0.94),Prevalence,Rate
Low-middle SDI,3,1990.000-2023.000,1990,2023,-1.06,-1.15,-0.96,1,-20.821,0,***,"1990~2023
-1.06(-1.15~-0.96)***",1990~2023,-1.06 (-1.15~-0.96),Prevalence,Rate
Middle SDI,3,Full Range,1990,2023,-0.71,-0.74,-0.69,1,-59.997,0,***,"1990~2023
-0.71(-0.74~-0.69)***",1990~2023,-0.71 (-0.74~-0.69),Prevalence,Rate
Middle SDI,3,1990.000-1999.000,1990,1999,-0.37,-0.40,-0.35,1,-30.151,0,***,"1990~1999
-0.37(-0.40~-0.35)***",1990~1999,-0.37 (-0.40~-0.35),Prevalence,Rate
Middle SDI,3,1999.000-2019.000,1999,2019,-0.82,-0.85,-0.78,1,-45.536,0,***,"1999~2019
-0.82(-0.85~-0.78)***",1999~2019,-0.82 (-0.85~-0.78),Prevalence,Rate
Middle SDI,3,2019.000-2023.000,2019,2023,-0.96,-0.98,-0.93,1,-77.901,0,***,"2019~2023
-0.96(-0.98~-0.93)***",2019~2023,-0.96 (-0.98~-0.93),Prevalence,Rate
Middle SDI,3,1990.000-2019.000,1990,2019,-0.68,-0.71,-0.66,1,-51.892,0,***,"1990~2019
-0.68(-0.71~-0.66)***",1990~2019,-0.68 (-0.71~-0.66),Prevalence,Rate
Middle SDI,3,1990.000-2023.000,1990,2023,-0.71,-0.74,-0.69,1,-59.997,0,***,"1990~2023
-0.71(-0.74~-0.69)***",1990~2023,-0.71 (-0.74~-0.69),Prevalence,Rate
Region of the Americas,3,Full Range,1990,2023,-1.28,-1.33,-1.22,1,-46.598,0,***,"1990~2023
-1.28(-1.33~-1.22)***",1990~2023,-1.28 (-1.33~-1.22),Prevalence,Rate
Region of the Americas,3,1990.000-1999.000,1990,1999,-0.77,-0.90,-0.65,1,-12.504,0,***,"1990~1999
-0.77(-0.90~-0.65)***",1990~1999,-0.77 (-0.90~-0.65),Prevalence,Rate
Region of the Americas,3,1999.000-2019.000,1999,2019,-1.49,-1.55,-1.43,1,-47.54,0,***,"1999~2019
-1.49(-1.55~-1.43)***",1999~2019,-1.49 (-1.55~-1.43),Prevalence,Rate
Region of the Americas,3,2019.000-2023.000,2019,2023,-1.32,-1.37,-1.27,1,-53.31,0,***,"2019~2023
-1.32(-1.37~-1.27)***",2019~2023,-1.32 (-1.37~-1.27),Prevalence,Rate
Region of the Americas,3,1990.000-2019.000,1990,2019,-1.27,-1.33,-1.21,1,-42.03,0,***,"1990~2019
-1.27(-1.33~-1.21)***",1990~2019,-1.27 (-1.33~-1.21),Prevalence,Rate
Region of the Americas,3,1990.000-2023.000,1990,2023,-1.28,-1.33,-1.22,1,-46.598,0,***,"1990~2023
-1.28(-1.33~-1.22)***",1990~2023,-1.28 (-1.33~-1.22),Prevalence,Rate
South-East Asia Region,3,Full Range,1990,2023,-0.69,-0.75,-0.62,1,-20.661,0,***,"1990~2023
-0.69(-0.75~-0.62)***",1990~2023,-0.69 (-0.75~-0.62),Prevalence,Rate
South-East Asia Region,3,1990.000-1999.000,1990,1999,-0.45,-0.59,-0.32,1,-6.643,0,***,"1990~1999
-0.45(-0.59~-0.32)***",1990~1999,-0.45 (-0.59~-0.32),Prevalence,Rate
South-East Asia Region,3,1999.000-2019.000,1999,2019,-0.81,-0.85,-0.76,1,-34.095,0,***,"1999~2019
-0.81(-0.85~-0.76)***",1999~2019,-0.81 (-0.85~-0.76),Prevalence,Rate
South-East Asia Region,3,2019.000-2023.000,2019,2023,-0.62,-0.97,-0.26,1,-3.424,0.001,**,"2019~2023
-0.62(-0.97~-0.26)**",2019~2023,-0.62 (-0.97~-0.26),Prevalence,Rate
South-East Asia Region,3,1990.000-2019.000,1990,2019,-0.70,-0.75,-0.64,1,-25.244,0,***,"1990~2019
-0.70(-0.75~-0.64)***",1990~2019,-0.70 (-0.75~-0.64),Prevalence,Rate
South-East Asia Region,3,1990.000-2023.000,1990,2023,-0.69,-0.75,-0.62,1,-20.661,0,***,"1990~2023
-0.69(-0.75~-0.62)***",1990~2023,-0.69 (-0.75~-0.62),Prevalence,Rate
Western Pacific Region,3,Full Range,1990,2023,-0.29,-0.30,-0.27,1,-33.632,0,***,"1990~2023
-0.29(-0.30~-0.27)***",1990~2023,-0.29 (-0.30~-0.27),Prevalence,Rate
Western Pacific Region,3,1990.000-1999.000,1990,1999,0.20,0.18,0.21,1,22.084,0,***,"1990~1999
0.20(0.18~0.21)***",1990~1999,0.20 (0.18~0.21),Prevalence,Rate
Western Pacific Region,3,1999.000-2019.000,1999,2019,-0.52,-0.54,-0.49,1,-39.645,0,***,"1999~2019
-0.52(-0.54~-0.49)***",1999~2019,-0.52 (-0.54~-0.49),Prevalence,Rate
Western Pacific Region,3,2019.000-2023.000,2019,2023,-0.22,-0.23,-0.21,1,-36.649,0,***,"2019~2023
-0.22(-0.23~-0.21)***",2019~2023,-0.22 (-0.23~-0.21),Prevalence,Rate
Western Pacific Region,3,1990.000-2019.000,1990,2019,-0.29,-0.31,-0.28,1,-31.14,0,***,"1990~2019
-0.29(-0.31~-0.28)***",1990~2019,-0.29 (-0.31~-0.28),Prevalence,Rate
Western Pacific Region,3,1990.000-2023.000,1990,2023,-0.29,-0.30,-0.27,1,-33.632,0,***,"1990~2023
-0.29(-0.30~-0.27)***",1990~2023,-0.29 (-0.30~-0.27),Prevalence,Rate
